id_voo,numero_voo,id_aeroporto_origem,id_aeroporto_destino,data_partida,data_chegada,status
1,AV7044,6390,18824,2025-01-17 19:43:20,2025-01-17 23:35:20,Atrasado
2,AV2569,8239,8501,2024-07-22 09:10:45,2024-07-22 23:47:45,Atrasado
3,AV2820,13044,7903,2024-12-26 04:11:34,2024-12-26 17:29:34,Programado
4,AV7306,11791,17096,2023-06-24 06:56:13,2023-06-24 20:12:13,Concluído
5,AV3637,18187,11744,2024-02-12 09:08:04,2024-02-12 10:03:04,Cancelado
6,AV4674,18013,10166,2024-08-06 11:39:13,2024-08-06 23:15:13,Cancelado
7,AV9442,3594,15231,2025-02-06 12:31:15,2025-02-07 02:27:15,Atrasado
8,AV8825,15655,16317,2024-06-18 19:42:34,2024-06-19 05:43:34,Programado
9,AV4214,6444,12126,2025-11-17 14:22:16,2025-11-18 03:51:16,Atrasado
10,AV8983,1003,14335,2023-10-03 11:08:12,2023-10-03 18:55:12,Atrasado
11,AV6626,13395,11611,2024-01-29 10:17:37,2024-01-29 20:17:37,Atrasado
12,AV1660,2029,1084,2025-09-17 23:09:06,2025-09-18 04:34:06,Programado
13,AV8418,14924,2468,2025-06-19 23:19:21,2025-06-20 13:58:21,Concluído
14,AV8298,11847,12748,2024-06-02 15:52:43,2024-06-02 20:27:43,Programado
15,AV3129,18443,15420,2025-06-13 14:45:13,2025-06-14 05:13:13,Programado
16,AV4262,14925,16802,2024-06-05 19:09:33,2024-06-06 07:13:33,Programado
17,AV3047,4577,4686,2025-05-29 06:17:26,2025-05-29 11:13:26,Atrasado
18,AV4266,10940,7037,2025-10-11 23:28:18,2025-10-12 01:43:18,Cancelado
19,AV9318,5733,16371,2024-03-11 13:33:44,2024-03-12 02:20:44,Atrasado
20,AV7311,8020,10715,2023-03-09 00:19:05,2023-03-09 06:09:05,Concluído
21,AV3970,6791,8305,2023-02-15 18:32:44,2023-02-16 05:52:44,Cancelado
22,AV8710,19650,11946,2025-01-04 04:11:14,2025-01-04 18:24:14,Atrasado
23,AV4883,4089,19018,2023-04-24 02:07:46,2023-04-24 12:40:46,Atrasado
24,AV5589,5629,19412,2025-11-11 12:24:22,2025-11-12 01:32:22,Concluído
25,AV9319,8110,9036,2023-03-19 17:51:17,2023-03-19 23:20:17,Concluído
26,AV2302,1055,7474,2025-06-22 19:35:04,2025-06-22 20:49:04,Concluído
27,AV7822,3719,3205,2025-11-25 02:25:52,2025-11-25 15:46:52,Atrasado
28,AV7586,2397,1588,2023-11-07 06:54:12,2023-11-07 16:37:12,Cancelado
29,AV2498,8135,3515,2025-03-14 19:32:07,2025-03-14 21:26:07,Atrasado
30,AV4468,1142,1431,2023-12-05 06:17:11,2023-12-05 11:17:11,Atrasado
31,AV1842,6094,14259,2024-02-25 16:15:54,2024-02-26 00:41:54,Programado
32,AV5584,7427,11904,2025-04-26 05:18:23,2025-04-26 07:41:23,Programado
33,AV8543,13669,7334,2024-11-05 17:57:59,2024-11-06 00:14:59,Cancelado
34,AV2478,6304,17826,2024-11-11 07:53:22,2024-11-11 13:54:22,Atrasado
35,AV8274,18047,13939,2023-08-27 15:19:43,2023-08-28 05:41:43,Concluído
36,AV2732,429,8350,2024-03-19 03:19:39,2024-03-19 05:21:39,Cancelado
37,AV5105,12702,2616,2023-09-27 16:12:48,2023-09-28 06:58:48,Programado
38,AV9133,336,11374,2023-09-01 19:21:01,2023-09-01 22:18:01,Atrasado
39,AV8466,5913,11614,2023-05-04 10:21:07,2023-05-05 00:25:07,Cancelado
40,AV3945,18017,161,2023-03-18 00:24:31,2023-03-18 10:52:31,Cancelado
41,AV1619,3699,11214,2024-12-02 14:39:15,2024-12-02 17:18:15,Atrasado
42,AV1471,8441,12301,2025-01-19 11:39:38,2025-01-19 18:51:38,Cancelado
43,AV7064,19121,3101,2024-02-29 22:53:49,2024-03-01 04:02:49,Cancelado
44,AV8379,1517,11004,2025-01-23 08:50:21,2025-01-23 20:16:21,Atrasado
45,AV6563,10372,7837,2024-01-28 11:59:46,2024-01-28 22:19:46,Cancelado
46,AV5759,16812,7644,2024-07-30 21:11:43,2024-07-30 22:56:43,Cancelado
47,AV9728,12200,4531,2024-05-20 12:53:18,2024-05-20 20:00:18,Concluído
48,AV7772,11533,4734,2025-07-28 06:49:30,2025-07-28 08:57:30,Concluído
49,AV1934,14455,16908,2023-10-09 07:54:36,2023-10-09 20:44:36,Atrasado
50,AV3913,10131,7600,2025-10-01 17:52:59,2025-10-01 23:47:59,Programado
51,AV5473,7718,16017,2025-07-08 03:27:01,2025-07-08 09:33:01,Concluído
52,AV3935,8606,5109,2023-03-20 01:12:20,2023-03-20 05:18:20,Concluído
53,AV5854,16000,4224,2025-08-19 14:29:50,2025-08-19 16:20:50,Atrasado
54,AV1187,53,3311,2025-11-03 17:07:00,2025-11-04 00:04:00,Programado
55,AV3452,14274,1972,2024-05-08 17:57:48,2024-05-09 06:42:48,Atrasado
56,AV8997,2484,5948,2024-07-22 10:26:52,2024-07-22 14:04:52,Cancelado
57,AV1692,14647,2200,2024-10-26 08:55:56,2024-10-26 13:45:56,Programado
58,AV7347,10023,4716,2025-04-03 05:01:09,2025-04-03 18:42:09,Atrasado
59,AV4526,6630,2565,2024-08-20 08:22:43,2024-08-20 10:38:43,Programado
60,AV8741,6662,12739,2025-01-20 10:47:57,2025-01-20 23:11:57,Atrasado
61,AV2280,16619,7099,2022-12-23 07:40:41,2022-12-23 10:26:41,Atrasado
62,AV6992,13788,8026,2023-11-29 10:16:33,2023-11-29 17:02:33,Cancelado
63,AV5257,13263,8910,2024-07-28 13:33:09,2024-07-29 00:48:09,Programado
64,AV9673,18562,1426,2025-01-06 22:16:50,2025-01-07 03:50:50,Atrasado
65,AV6991,18061,19584,2023-09-06 00:18:41,2023-09-06 03:35:41,Concluído
66,AV1751,17263,1780,2025-11-18 12:04:38,2025-11-18 18:23:38,Atrasado
67,AV5472,12947,19351,2024-06-14 12:57:27,2024-06-14 15:33:27,Cancelado
68,AV7840,11965,12702,2024-05-30 02:28:48,2024-05-30 13:13:48,Atrasado
69,AV1345,14485,18595,2023-10-31 09:42:00,2023-10-31 15:40:00,Atrasado
70,AV9433,6380,1378,2024-02-29 01:51:22,2024-02-29 16:43:22,Cancelado
71,AV6669,2316,9830,2023-08-17 18:00:39,2023-08-17 19:33:39,Cancelado
72,AV8141,12911,77,2025-06-28 11:03:52,2025-06-28 12:07:52,Programado
73,AV8033,19318,14825,2025-02-20 17:23:22,2025-02-21 07:58:22,Cancelado
74,AV5837,10520,16922,2024-08-03 21:47:16,2024-08-04 10:24:16,Concluído
75,AV3177,18032,14850,2023-12-20 01:24:59,2023-12-20 15:10:59,Programado
76,AV8219,8440,3989,2023-11-10 06:21:29,2023-11-10 08:12:29,Atrasado
77,AV3828,15048,4185,2025-03-18 02:46:52,2025-03-18 11:09:52,Cancelado
78,AV7978,18091,2587,2025-10-24 12:17:58,2025-10-24 23:58:58,Concluído
79,AV7911,2230,8322,2023-06-21 16:35:33,2023-06-22 00:54:33,Concluído
80,AV4043,14108,7885,2023-04-26 23:05:12,2023-04-27 13:49:12,Programado
81,AV9742,11233,12929,2025-08-16 14:09:59,2025-08-16 15:16:59,Concluído
82,AV8775,1790,6959,2024-10-19 14:32:25,2024-10-20 02:51:25,Atrasado
83,AV6639,17501,6988,2024-06-08 01:05:29,2024-06-08 03:23:29,Atrasado
84,AV5903,8867,10982,2023-01-28 17:12:09,2023-01-29 04:14:09,Concluído
85,AV2725,15683,1646,2025-01-15 01:01:39,2025-01-15 06:29:39,Cancelado
86,AV6343,11315,5739,2025-02-10 16:26:06,2025-02-10 21:26:06,Concluído
87,AV6869,650,18600,2024-08-07 16:43:30,2024-08-08 06:07:30,Programado
88,AV5807,2331,5819,2024-12-22 15:16:40,2024-12-23 00:54:40,Programado
89,AV6327,16379,6371,2024-08-13 12:15:55,2024-08-13 22:05:55,Atrasado
90,AV7663,18310,15672,2024-05-22 19:05:28,2024-05-23 07:30:28,Cancelado
91,AV4082,5601,8642,2023-04-23 15:56:13,2023-04-23 18:07:13,Cancelado
92,AV2119,65,18319,2025-07-10 06:50:04,2025-07-10 19:28:04,Programado
93,AV7496,17859,10859,2024-08-17 00:24:57,2024-08-17 06:48:57,Programado
94,AV8397,4756,5326,2024-02-09 18:06:30,2024-02-09 20:25:30,Cancelado
95,AV6238,8162,6961,2023-05-05 23:50:56,2023-05-06 09:27:56,Concluído
96,AV1110,18805,9293,2023-05-05 18:04:50,2023-05-05 22:42:50,Cancelado
97,AV4419,5188,7396,2024-10-20 23:27:25,2024-10-21 08:16:25,Programado
98,AV9790,8819,4788,2024-02-21 11:48:37,2024-02-21 20:37:37,Concluído
99,AV9186,2735,16287,2024-04-01 00:06:07,2024-04-01 00:53:07,Cancelado
100,AV8797,1170,7529,2024-08-10 18:29:31,2024-08-11 09:07:31,Concluído
101,AV4646,14829,18169,2024-08-15 14:13:40,2024-08-15 21:59:40,Programado
102,AV3384,788,851,2024-04-05 11:54:20,2024-04-06 01:38:20,Atrasado
103,AV1650,11249,6203,2023-07-30 23:49:27,2023-07-31 04:26:27,Programado
104,AV3511,15213,10007,2023-04-02 06:31:53,2023-04-02 08:20:53,Concluído
105,AV6501,16609,9734,2023-01-05 01:12:25,2023-01-05 09:00:25,Programado
106,AV4283,9787,14709,2023-04-01 13:40:22,2023-04-01 20:39:22,Atrasado
107,AV4419,15190,15476,2024-08-07 16:36:28,2024-08-07 22:51:28,Atrasado
108,AV4426,17442,9762,2024-06-17 10:28:38,2024-06-17 23:40:38,Concluído
109,AV9695,17986,15792,2023-07-21 04:44:54,2023-07-21 15:07:54,Atrasado
110,AV4561,7899,12325,2025-02-12 18:41:50,2025-02-13 08:32:50,Atrasado
111,AV2629,8604,11765,2025-07-25 08:16:00,2025-07-25 17:09:00,Atrasado
112,AV3411,15957,2200,2025-06-21 14:40:39,2025-06-21 15:41:39,Concluído
113,AV1989,13059,17847,2024-09-07 14:12:54,2024-09-07 15:34:54,Programado
114,AV4816,2515,16279,2024-11-30 10:10:57,2024-11-30 15:57:57,Programado
115,AV2927,18656,8718,2023-01-04 07:49:52,2023-01-04 09:36:52,Programado
116,AV6984,10336,3752,2023-10-26 12:06:37,2023-10-26 14:26:37,Programado
117,AV1453,3216,13249,2023-03-30 15:06:16,2023-03-30 20:59:16,Cancelado
118,AV8492,12164,19885,2024-05-04 20:48:10,2024-05-05 10:45:10,Programado
119,AV4321,9036,725,2023-04-25 09:50:55,2023-04-25 18:19:55,Programado
120,AV2127,15187,10919,2023-03-14 13:06:37,2023-03-14 21:06:37,Cancelado
121,AV6426,14780,10975,2024-02-02 15:31:28,2024-02-02 18:54:28,Concluído
122,AV3719,16317,15329,2023-02-05 04:19:27,2023-02-05 16:44:27,Programado
123,AV8471,2265,19799,2023-10-29 17:59:12,2023-10-30 03:51:12,Atrasado
124,AV2047,14575,6982,2025-01-02 07:20:16,2025-01-02 18:50:16,Concluído
125,AV6360,5554,11160,2023-01-16 21:49:02,2023-01-17 05:21:02,Atrasado
126,AV4837,17720,19341,2022-12-28 14:32:59,2022-12-28 23:21:59,Concluído
127,AV3807,17264,166,2024-02-11 10:04:45,2024-02-11 14:19:45,Programado
128,AV7119,3557,3393,2024-08-09 22:13:49,2024-08-10 12:08:49,Concluído
129,AV2008,18312,15263,2024-09-07 18:11:23,2024-09-08 04:15:23,Cancelado
130,AV5669,5494,19617,2023-09-27 10:28:55,2023-09-27 22:32:55,Atrasado
131,AV9776,5852,4207,2023-08-12 02:13:32,2023-08-12 05:27:32,Cancelado
132,AV5054,8770,2535,2024-09-01 20:15:45,2024-09-02 04:44:45,Cancelado
133,AV4554,5633,6752,2024-12-29 10:58:20,2024-12-29 20:13:20,Programado
134,AV6259,5328,9901,2023-02-23 09:05:44,2023-02-23 23:27:44,Programado
135,AV7038,10649,10354,2023-07-22 10:50:54,2023-07-22 21:55:54,Cancelado
136,AV1641,3309,17822,2024-04-01 11:11:05,2024-04-02 01:30:05,Concluído
137,AV9061,11667,10665,2025-08-08 10:50:53,2025-08-08 13:56:53,Programado
138,AV5943,5308,2677,2024-04-14 17:56:50,2024-04-14 20:15:50,Concluído
