id_bagagem,id_bilhete,tag_bagagem,tipo,peso_kg,criado_em,atualizado_em
1,1376,90-44734,DESPACHADA,13.410306120644181,2025-11-25 22:51:36.531754,2025-11-25 22:51:36.531754
2,18399,25-46924,MAO,8.229306277266067,2025-11-25 22:51:36.531804,2025-11-25 22:51:36.531804
3,8397,20-50506,MAO,15.084873925857298,2025-11-25 22:51:36.531821,2025-11-25 22:51:36.531821
4,643,09-85512,DESPACHADA,9.339991345878238,2025-11-25 22:51:36.531831,2025-11-25 22:51:36.531831
5,13859,55-17505,MAO,18.380699598293283,2025-11-25 22:51:36.531841,2025-11-25 22:51:36.531841
6,20939,92-80289,MAO,21.90517578563476,2025-11-25 22:51:36.531850,2025-11-25 22:51:36.531850
7,22347,38-14538,MAO,10.774053050603758,2025-11-25 22:51:36.531859,2025-11-25 22:51:36.531859
8,4562,64-17735,DESPACHADA,16.32301691580067,2025-11-25 22:51:36.531868,2025-11-25 22:51:36.531868
9,14136,43-94409,MAO,20.22103328120477,2025-11-25 22:51:36.531876,2025-11-25 22:51:36.531876
10,10913,10-93193,MAO,12.254459980363043,2025-11-25 22:51:36.531885,2025-11-25 22:51:36.531885
11,1395,22-77429,DESPACHADA,16.16711332931586,2025-11-25 22:51:36.531894,2025-11-25 22:51:36.531894
12,20542,14-01163,MAO,9.65213901503978,2025-11-25 22:51:36.531902,2025-11-25 22:51:36.531902
13,13757,00-79510,DESPACHADA,14.331169670706897,2025-11-25 22:51:36.531910,2025-11-25 22:51:36.531910
14,23539,79-41199,MAO,14.83236536644053,2025-11-25 22:51:36.531918,2025-11-25 22:51:36.531918
15,1820,54-54336,DESPACHADA,5.906475431497495,2025-11-25 22:51:36.531926,2025-11-25 22:51:36.531926
16,56,72-27958,MAO,20.061439279864004,2025-11-25 22:51:36.531934,2025-11-25 22:51:36.531934
17,5241,94-79094,MAO,8.019558223845008,2025-11-25 22:51:36.531942,2025-11-25 22:51:36.531942
18,19940,68-72528,MAO,15.9671897126967,2025-11-25 22:51:36.531950,2025-11-25 22:51:36.531950
19,1978,38-51978,DESPACHADA,17.766096906293072,2025-11-25 22:51:36.531958,2025-11-25 22:51:36.531958
