id_voo,id_funcionario,funcao_no_voo
11074,432,Comandante
11074,58,Comissário Chefe
6585,393,Comandante
6585,692,Comissário Chefe
9618,681,Comandante
9618,569,Comissário Chefe
8380,714,Comandante
8380,117,Comissário Chefe
4887,29,Comandante
4887,606,Comissário Chefe
13791,153,Comandante
13791,579,Comissário Chefe
5807,748,Comandante
5807,715,Comissário Chefe
4488,247,Comandante
4488,454,Comissário Chefe
17431,580,Comandante
17431,102,Comissário Chefe
17946,362,Comandante
17946,772,Comissário Chefe
11501,111,Comandante
11501,567,Comissário Chefe
13370,786,Comandante
13370,368,Comissário Chefe
14328,212,Comandante
14328,569,Comissário Chefe
3033,53,Comandante
3033,132,Comissário Chefe
16921,611,Comandante
16921,391,Comissário Chefe
1613,701,Comandante
1613,485,Comissário Chefe
8057,594,Comandante
8057,382,Comissário Chefe
9890,764,Comandante
9890,160,Comissário Chefe
984,617,Comandante
984,567,Comissário Chefe
11548,416,Comandante
11548,344,Comissário Chefe
699,424,Comandante
699,262,Comissário Chefe
7737,163,Comandante
7737,772,Comissário Chefe
16965,708,Comandante
16965,233,Comissário Chefe
7005,145,Comandante
7005,100,Comissário Chefe
17091,333,Comandante
17091,632,Comissário Chefe
4334,505,Comandante
4334,717,Comissário Chefe
16843,439,Comandante
16843,44,Comissário Chefe
16906,557,Comandante
16906,143,Comissário Chefe
15218,11,Comandante
15218,361,Comissário Chefe
8367,232,Comandante
8367,514,Comissário Chefe
9212,664,Comandante
9212,56,Comissário Chefe
14982,505,Comandante
14982,467,Comissário Chefe
1939,626,Comandante
1939,581,Comissário Chefe
807,397,Comandante
807,129,Comissário Chefe
7797,148,Comandante
7797,296,Comissário Chefe
7665,3,Comandante
7665,76,Comissário Chefe
8957,601,Comandante
8957,544,Comissário Chefe
5593,681,Comandante
5593,662,Comissário Chefe
1602,438,Comandante
1602,800,Comissário Chefe
10627,491,Comandante
10627,21,Comissário Chefe
13690,144,Comandante
13690,382,Comissário Chefe
13282,664,Comandante
13282,291,Comissário Chefe
3135,274,Comandante
3135,703,Comissário Chefe
7943,394,Comandante
7943,463,Comissário Chefe
15768,627,Comandante
15768,243,Comissário Chefe
8489,591,Comandante
8489,738,Comissário Chefe
13293,64,Comandante
13293,147,Comissário Chefe
9728,53,Comandante
9728,128,Comissário Chefe
11509,549,Comandante
11509,322,Comissário Chefe
14768,457,Comandante
14768,464,Comissário Chefe
6175,472,Comandante
6175,251,Comissário Chefe
8591,668,Comandante
8591,224,Comissário Chefe
10794,750,Comandante
10794,100,Comissário Chefe
4029,191,Comandante
4029,635,Comissário Chefe
2711,269,Comandante
2711,651,Comissário Chefe
16043,188,Comandante
16043,742,Comissário Chefe
13600,474,Comandante
13600,240,Comissário Chefe
3255,315,Comandante
3255,512,Comissário Chefe
10784,409,Comandante
10784,210,Comissário Chefe
11290,181,Comandante
11290,567,Comissário Chefe
16767,591,Comandante
16767,347,Comissário Chefe
7013,626,Comandante
7013,309,Comissário Chefe
7056,148,Comandante
7056,512,Comissário Chefe
14425,670,Comandante
14425,54,Comissário Chefe
5001,798,Comandante
5001,489,Comissário Chefe
11303,275,Comandante
11303,483,Comissário Chefe
13767,521,Comandante
13767,621,Comissário Chefe
5910,274,Comandante
5910,130,Comissário Chefe
5063,619,Comandante
5063,716,Comissário Chefe
1108,617,Comandante
1108,537,Comissário Chefe
1707,507,Comandante
1707,633,Comissário Chefe
2118,180,Comandante
2118,193,Comissário Chefe
8280,438,Comandante
8280,451,Comissário Chefe
7847,265,Comandante
7847,632,Comissário Chefe
6899,53,Comandante
6899,37,Comissário Chefe
5637,55,Comandante
5637,537,Comissário Chefe
5495,237,Comandante
5495,459,Comissário Chefe
4608,591,Comandante
4608,152,Comissário Chefe
16375,161,Comandante
16375,308,Comissário Chefe
12408,87,Comandante
12408,615,Comissário Chefe
17450,521,Comandante
17450,514,Comissário Chefe
14987,140,Comandante
14987,676,Comissário Chefe
4592,180,Comandante
4592,487,Comissário Chefe
14528,468,Comandante
14528,365,Comissário Chefe
8580,199,Comandante
8580,758,Comissário Chefe
7393,766,Comandante
7393,485,Comissário Chefe
17098,605,Comandante
17098,485,Comissário Chefe
120,586,Comandante
120,596,Comissário Chefe
6421,2,Comandante
6421,129,Comissário Chefe
8942,668,Comandante
8942,795,Comissário Chefe
1240,84,Comandante
1240,745,Comissário Chefe
4863,619,Comandante
4863,82,Comissário Chefe
15663,6,Comandante
15663,767,Comissário Chefe
9541,610,Comandante
9541,540,Comissário Chefe
17039,50,Comandante
17039,97,Comissário Chefe
1075,274,Comandante
1075,487,Comissário Chefe
12784,297,Comandante
12784,379,Comissário Chefe
11466,490,Comandante
11466,102,Comissário Chefe
12496,432,Comandante
12496,128,Comissário Chefe
7367,618,Comandante
7367,19,Comissário Chefe
15262,424,Comandante
15262,442,Comissário Chefe
12536,289,Comandante
12536,37,Comissário Chefe
3928,670,Comandante
3928,170,Comissário Chefe
10356,543,Comandante
10356,160,Comissário Chefe
5656,582,Comandante
5656,193,Comissário Chefe
11052,63,Comandante
11052,694,Comissário Chefe
6939,468,Comandante
6939,350,Comissário Chefe
13593,172,Comandante
13593,596,Comissário Chefe
7208,397,Comandante
7208,721,Comissário Chefe
7964,172,Comandante
7964,131,Comissário Chefe
14324,627,Comandante
14324,406,Comissário Chefe
10809,491,Comandante
10809,759,Comissário Chefe
8763,468,Comandante
8763,720,Comissário Chefe
12821,145,Comandante
12821,434,Comissário Chefe
17973,64,Comandante
17973,329,Comissário Chefe
16596,552,Comandante
16596,245,Comissário Chefe
2360,430,Comandante
2360,317,Comissário Chefe
15755,586,Comandante
15755,795,Comissário Chefe
4238,158,Comandante
4238,266,Comissário Chefe
14668,191,Comandante
14668,635,Comissário Chefe
16923,657,Comandante
16923,344,Comissário Chefe
16914,281,Comandante
16914,112,Comissário Chefe
4666,691,Comandante
4666,206,Comissário Chefe
12714,657,Comandante
12714,336,Comissário Chefe
5427,315,Comandante
5427,463,Comissário Chefe
5266,148,Comandante
5266,429,Comissário Chefe
4777,161,Comandante
4777,624,Comissário Chefe
2650,568,Comandante
2650,249,Comissário Chefe
3579,178,Comandante
3579,98,Comissário Chefe
11935,328,Comandante
11935,33,Comissário Chefe
9568,619,Comandante
9568,407,Comissário Chefe
6960,299,Comandante
6960,160,Comissário Chefe
4695,748,Comandante
4695,479,Comissário Chefe
2511,237,Comandante
2511,732,Comissário Chefe
6111,541,Comandante
6111,37,Comissário Chefe
4753,149,Comandante
4753,298,Comissário Chefe
9078,617,Comandante
9078,318,Comissário Chefe
6867,646,Comandante
6867,296,Comissário Chefe
17393,786,Comandante
17393,365,Comissário Chefe
11397,663,Comandante
11397,554,Comissário Chefe
2976,263,Comandante
2976,675,Comissário Chefe
684,472,Comandante
684,296,Comissário Chefe
10696,468,Comandante
10696,711,Comissário Chefe
8478,111,Comandante
8478,379,Comissário Chefe
3993,430,Comandante
3993,177,Comissário Chefe
6375,591,Comandante
6375,259,Comissário Chefe
12094,541,Comandante
12094,143,Comissário Chefe
11658,515,Comandante
11658,540,Comissário Chefe
8624,297,Comandante
8624,245,Comissário Chefe
8395,153,Comandante
8395,313,Comissário Chefe
16861,657,Comandante
16861,637,Comissário Chefe
14465,619,Comandante
14465,106,Comissário Chefe
9836,748,Comandante
9836,47,Comissário Chefe
10007,145,Comandante
10007,343,Comissário Chefe
7801,68,Comandante
7801,606,Comissário Chefe
2910,13,Comandante
2910,410,Comissário Chefe
9107,181,Comandante
9107,793,Comissário Chefe
5761,175,Comandante
5761,151,Comissário Chefe
13665,543,Comandante
13665,250,Comissário Chefe
847,438,Comandante
847,499,Comissário Chefe
4993,404,Comandante
4993,317,Comissário Chefe
7016,614,Comandante
7016,255,Comissário Chefe
251,268,Comandante
251,335,Comissário Chefe
11854,397,Comandante
11854,367,Comissário Chefe
9121,591,Comandante
9121,54,Comissário Chefe
615,629,Comandante
615,54,Comissário Chefe
202,457,Comandante
202,371,Comissário Chefe
11256,142,Comandante
11256,485,Comissário Chefe
765,397,Comandante
765,448,Comissário Chefe
1841,594,Comandante
1841,781,Comissário Chefe
14510,252,Comandante
14510,219,Comissário Chefe
12454,32,Comandante
12454,28,Comissário Chefe
15437,157,Comandante
15437,356,Comissário Chefe
10853,366,Comandante
10853,249,Comissário Chefe
8524,182,Comandante
8524,406,Comissário Chefe
4832,507,Comandante
4832,12,Comissário Chefe
1619,144,Comandante
1619,48,Comissário Chefe
14184,475,Comandante
14184,264,Comissário Chefe
16672,663,Comandante
16672,489,Comissário Chefe
9992,99,Comandante
9992,676,Comissário Chefe
7729,659,Comandante
7729,482,Comissário Chefe
8771,578,Comandante
8771,382,Comissário Chefe
14748,268,Comandante
14748,33,Comissário Chefe
1101,99,Comandante
1101,322,Comissário Chefe
11387,157,Comandante
11387,27,Comissário Chefe
6730,516,Comandante
6730,410,Comissário Chefe
5040,424,Comandante
5040,800,Comissário Chefe
13639,714,Comandante
13639,550,Comissário Chefe
15071,549,Comandante
15071,44,Comissário Chefe
3669,297,Comandante
3669,385,Comissário Chefe
4288,404,Comandante
4288,317,Comissário Chefe
15523,64,Comandante
15523,728,Comissário Chefe
16869,525,Comandante
16869,266,Comissário Chefe
13193,568,Comandante
13193,369,Comissário Chefe
1097,311,Comandante
1097,759,Comissário Chefe
13621,163,Comandante
13621,151,Comissário Chefe
6069,611,Comandante
6069,481,Comissário Chefe
8960,188,Comandante
8960,381,Comissário Chefe
1893,748,Comandante
1893,170,Comissário Chefe
1899,268,Comandante
1899,344,Comissário Chefe
4808,140,Comandante
4808,235,Comissário Chefe
8224,409,Comandante
8224,455,Comissário Chefe
14193,387,Comandante
14193,443,Comissário Chefe
3050,274,Comandante
3050,761,Comissário Chefe
12162,557,Comandante
12162,738,Comissário Chefe
2375,366,Comandante
2375,513,Comissário Chefe
11485,268,Comandante
11485,717,Comissário Chefe
11406,289,Comandante
11406,606,Comissário Chefe
12523,750,Comandante
12523,313,Comissário Chefe
8571,394,Comandante
8571,309,Comissário Chefe
301,438,Comandante
301,132,Comissário Chefe
464,404,Comandante
464,721,Comissário Chefe
15289,212,Comandante
15289,420,Comissário Chefe
12354,237,Comandante
12354,482,Comissário Chefe
8045,212,Comandante
8045,73,Comissário Chefe
5172,594,Comandante
5172,679,Comissário Chefe
9497,232,Comandante
9497,316,Comissário Chefe
17666,87,Comandante
17666,18,Comissário Chefe
10803,212,Comandante
10803,195,Comissário Chefe
12604,657,Comandante
12604,403,Comissário Chefe
5306,6,Comandante
5306,492,Comissário Chefe
9971,310,Comandante
9971,54,Comissário Chefe
17276,247,Comandante
17276,255,Comissário Chefe
9680,265,Comandante
9680,574,Comissário Chefe
3783,591,Comandante
3783,511,Comissário Chefe
6521,30,Comandante
6521,482,Comissário Chefe
196,32,Comandante
196,343,Comissário Chefe
2848,618,Comandante
2848,350,Comissário Chefe
15860,681,Comandante
15860,509,Comissário Chefe
7996,394,Comandante
7996,502,Comissário Chefe
9446,345,Comandante
9446,193,Comissário Chefe
4486,521,Comandante
4486,294,Comissário Chefe
9174,144,Comandante
9174,544,Comissário Chefe
2577,522,Comandante
2577,447,Comissário Chefe
6044,212,Comandante
6044,455,Comissário Chefe
6645,718,Comandante
6645,9,Comissário Chefe
2426,446,Comandante
2426,59,Comissário Chefe
1703,582,Comandante
1703,264,Comissário Chefe
15317,247,Comandante
15317,8,Comissário Chefe
5478,533,Comandante
5478,603,Comissário Chefe
9415,302,Comandante
9415,585,Comissário Chefe
12761,297,Comandante
12761,624,Comissário Chefe
16405,659,Comandante
16405,692,Comissário Chefe
4528,269,Comandante
4528,296,Comissário Chefe
9353,212,Comandante
9353,260,Comissário Chefe
11116,755,Comandante
11116,519,Comissário Chefe
54,310,Comandante
54,27,Comissário Chefe
10846,718,Comandante
10846,696,Comissário Chefe
8610,393,Comandante
8610,763,Comissário Chefe
1020,148,Comandante
1020,694,Comissário Chefe
11384,311,Comandante
11384,638,Comissário Chefe
13317,274,Comandante
13317,542,Comissário Chefe
10979,764,Comandante
10979,18,Comissário Chefe
15961,247,Comandante
15961,28,Comissário Chefe
3308,333,Comandante
3308,606,Comissário Chefe
16112,786,Comandante
16112,779,Comissário Chefe
17501,778,Comandante
17501,425,Comissário Chefe
1847,549,Comandante
1847,54,Comissário Chefe
189,591,Comandante
189,106,Comissário Chefe
10535,432,Comandante
10535,259,Comissário Chefe
9327,92,Comandante
9327,62,Comissário Chefe
10592,601,Comandante
10592,572,Comissário Chefe
10394,68,Comandante
10394,128,Comissário Chefe
5523,743,Comandante
5523,12,Comissário Chefe
3281,404,Comandante
3281,98,Comissário Chefe
5614,798,Comandante
5614,768,Comissário Chefe
16057,516,Comandante
16057,773,Comissário Chefe
9628,468,Comandante
9628,9,Comissário Chefe
5130,515,Comandante
5130,540,Comissário Chefe
17641,611,Comandante
17641,767,Comissário Chefe
14728,175,Comandante
14728,17,Comissário Chefe
17634,289,Comandante
17634,498,Comissário Chefe
9367,111,Comandante
9367,481,Comissário Chefe
14774,273,Comandante
14774,103,Comissário Chefe
11911,397,Comandante
11911,89,Comissário Chefe
11488,312,Comandante
11488,363,Comissário Chefe
318,273,Comandante
318,21,Comissário Chefe
15877,377,Comandante
15877,73,Comissário Chefe
1111,92,Comandante
1111,463,Comissário Chefe
5941,538,Comandante
5941,219,Comissário Chefe
15863,99,Comandante
15863,599,Comissário Chefe
8015,281,Comandante
8015,425,Comissário Chefe
17153,175,Comandante
17153,703,Comissário Chefe
17322,430,Comandante
17322,47,Comissário Chefe
11251,265,Comandante
11251,392,Comissário Chefe
1921,534,Comandante
1921,511,Comissário Chefe
3888,321,Comandante
3888,700,Comissário Chefe
2464,516,Comandante
2464,196,Comissário Chefe
16938,436,Comandante
16938,48,Comissário Chefe
2640,458,Comandante
2640,560,Comissário Chefe
12583,105,Comandante
12583,800,Comissário Chefe
12716,750,Comandante
12716,240,Comissário Chefe
13595,321,Comandante
13595,753,Comissário Chefe
7287,148,Comandante
7287,336,Comissário Chefe
4602,627,Comandante
4602,248,Comissário Chefe
15313,182,Comandante
15313,771,Comissário Chefe
14670,626,Comandante
14670,435,Comissário Chefe
12891,387,Comandante
12891,350,Comissário Chefe
15131,766,Comandante
15131,355,Comissário Chefe
6444,413,Comandante
6444,797,Comissário Chefe
14151,490,Comandante
14151,630,Comissário Chefe
2569,582,Comandante
2569,359,Comissário Chefe
10758,182,Comandante
10758,679,Comissário Chefe
11428,413,Comandante
11428,335,Comissário Chefe
14780,755,Comandante
14780,382,Comissário Chefe
4381,536,Comandante
4381,101,Comissário Chefe
12642,53,Comandante
12642,326,Comissário Chefe
6066,468,Comandante
6066,768,Comissário Chefe
14189,432,Comandante
14189,28,Comissário Chefe
12961,232,Comandante
12961,429,Comissário Chefe
9197,538,Comandante
9197,147,Comissário Chefe
3428,393,Comandante
3428,460,Comissário Chefe
13230,439,Comandante
13230,628,Comissário Chefe
4550,6,Comandante
4550,354,Comissário Chefe
2846,188,Comandante
2846,550,Comissário Chefe
9793,29,Comandante
9793,168,Comissário Chefe
9122,2,Comandante
9122,598,Comissário Chefe
15365,393,Comandante
15365,576,Comissário Chefe
748,145,Comandante
748,800,Comissário Chefe
2908,646,Comandante
2908,230,Comissário Chefe
5804,580,Comandante
5804,800,Comissário Chefe
9275,327,Comandante
9275,348,Comissário Chefe
17171,142,Comandante
17171,59,Comissário Chefe
4819,438,Comandante
4819,565,Comissário Chefe
14914,618,Comandante
14914,298,Comissário Chefe
1961,269,Comandante
1961,570,Comissário Chefe
8941,275,Comandante
8941,478,Comissário Chefe
7008,586,Comandante
7008,147,Comissário Chefe
12909,247,Comandante
12909,184,Comissário Chefe
2837,274,Comandante
2837,800,Comissário Chefe
7886,109,Comandante
7886,554,Comissário Chefe
7351,13,Comandante
7351,378,Comissário Chefe
8653,272,Comandante
8653,37,Comissário Chefe
14261,263,Comandante
14261,742,Comissário Chefe
11215,87,Comandante
11215,771,Comissário Chefe
15302,708,Comandante
15302,76,Comissário Chefe
3186,188,Comandante
3186,518,Comissário Chefe
12479,610,Comandante
12479,574,Comissário Chefe
2900,289,Comandante
2900,598,Comissário Chefe
791,393,Comandante
791,441,Comissário Chefe
11973,629,Comandante
11973,633,Comissário Chefe
2379,92,Comandante
2379,367,Comissário Chefe
3966,148,Comandante
3966,509,Comissário Chefe
9984,764,Comandante
9984,168,Comissário Chefe
10329,274,Comandante
10329,511,Comissário Chefe
1555,543,Comandante
1555,206,Comissário Chefe
3737,472,Comandante
3737,250,Comissário Chefe
17538,53,Comandante
17538,513,Comissário Chefe
4821,578,Comandante
4821,442,Comissário Chefe
339,2,Comandante
339,308,Comissário Chefe
4712,6,Comandante
4712,485,Comissário Chefe
4526,275,Comandante
4526,441,Comissário Chefe
5713,507,Comandante
5713,14,Comissário Chefe
10623,409,Comandante
10623,343,Comissário Chefe
10360,148,Comandante
10360,8,Comissário Chefe
13686,199,Comandante
13686,251,Comissário Chefe
2893,50,Comandante
2893,773,Comissário Chefe
17028,140,Comandante
17028,102,Comissário Chefe
10768,619,Comandante
10768,243,Comissário Chefe
2429,289,Comandante
2429,282,Comissário Chefe
860,13,Comandante
860,331,Comissário Chefe
17996,591,Comandante
17996,581,Comissário Chefe
16519,328,Comandante
16519,745,Comissário Chefe
14138,77,Comandante
14138,388,Comissário Chefe
8772,84,Comandante
8772,371,Comissário Chefe
11747,677,Comandante
11747,736,Comissário Chefe
8218,362,Comandante
8218,369,Comissário Chefe
5138,182,Comandante
5138,93,Comissário Chefe
17511,99,Comandante
17511,229,Comissário Chefe
893,188,Comandante
893,28,Comissário Chefe
10717,629,Comandante
10717,560,Comissário Chefe
15815,268,Comandante
15815,368,Comissário Chefe
7344,436,Comandante
7344,435,Comissário Chefe
10038,64,Comandante
10038,519,Comissário Chefe
11072,158,Comandante
11072,154,Comissário Chefe
5751,92,Comandante
5751,434,Comissário Chefe
13334,491,Comandante
13334,350,Comissário Chefe
11591,148,Comandante
11591,768,Comissário Chefe
2960,254,Comandante
2960,40,Comissário Chefe
8481,393,Comandante
8481,476,Comissário Chefe
11322,148,Comandante
11322,716,Comissário Chefe
13182,366,Comandante
13182,754,Comissário Chefe
14083,163,Comandante
14083,350,Comissário Chefe
10167,750,Comandante
10167,488,Comissário Chefe
1000,507,Comandante
1000,369,Comissário Chefe
7252,63,Comandante
7252,193,Comissário Chefe
9192,605,Comandante
9192,511,Comissário Chefe
11148,626,Comandante
11148,476,Comissário Chefe
15819,543,Comandante
15819,338,Comissário Chefe
6481,491,Comandante
6481,443,Comissário Chefe
5584,568,Comandante
5584,183,Comissário Chefe
10381,84,Comandante
10381,785,Comissário Chefe
17138,614,Comandante
17138,106,Comissário Chefe
511,310,Comandante
511,485,Comissário Chefe
14532,582,Comandante
14532,694,Comissário Chefe
153,197,Comandante
153,305,Comissário Chefe
13659,311,Comandante
13659,217,Comissário Chefe
11708,197,Comandante
11708,603,Comissário Chefe
10134,64,Comandante
10134,767,Comissário Chefe
12910,394,Comandante
12910,331,Comissário Chefe
17982,269,Comandante
17982,509,Comissário Chefe
1164,582,Comandante
1164,152,Comissário Chefe
14028,764,Comandante
14028,679,Comissário Chefe
392,765,Comandante
392,478,Comissário Chefe
6023,432,Comandante
6023,240,Comissário Chefe
2557,247,Comandante
2557,451,Comissário Chefe
13967,68,Comandante
13967,519,Comissário Chefe
5352,594,Comandante
5352,338,Comissário Chefe
3107,105,Comandante
3107,213,Comissário Chefe
15586,310,Comandante
15586,339,Comissário Chefe
2337,247,Comandante
2337,671,Comissário Chefe
2425,111,Comandante
2425,331,Comissário Chefe
12524,538,Comandante
